"","Accuracy","Precision","Sensitivity","Specificity"
"1",0.608120035304501,0.575360419397117,0.785330948121646,0.435540069686411
"2",0.644307149161518,0.605298013245033,0.813167259786477,0.478108581436077
"3",0.64783759929391,0.608753315649867,0.815275310834814,0.482456140350877
"4",0.649602824360106,0.603217158176944,0.816696914700545,0.491408934707904
"5",0.648720211827008,0.628306878306878,0.802364864864865,0.480591497227357
"6",0.675198587819947,0.627756160830091,0.856637168141593,0.494718309859155
"7",0.646954986760812,0.602362204724409,0.825539568345324,0.474870017331023
"8",0.654898499558694,0.63395225464191,0.806070826306914,0.488888888888889
"9",0.629302736098853,0.587467362924282,0.812274368231047,0.454231433506045
"10",0.654898499558694,0.618543046357616,0.819298245614035,0.488454706927176
