"","Metrica","Media","Desviacion"
"1","Accuracy",0.659252738654147,0.0528427067863052
"2","Precision",0.620831416338423,0.0628696399100482
"3","Sensitivity",0.807678002582221,0.067343833447339
"4","Specificity",0.509068724614991,0.0633189501964714
