"","Metrica","Media","Desviacion"
"1","Accuracy",0.645984112974404,0.0174869676972611
"2","Precision",0.609101681425415,0.0186329262351551
"3","Sensitivity",0.815265547494726,0.0182448737861955
"4","Specificity",0.476926857992091,0.0184987264924394
