algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCS_e2,8,49,No aplica,146,0.013997554779052734,1
UCS_e2,9,60,No aplica,80,0.013470888137817383,1
UCS_e2,10,89,No aplica,304,0.040018320083618164,1
UCS_e2,11,62,No aplica,160,0.02191448211669922,1
UCS_e2,12,74,No aplica,181,0.05037093162536621,1
UCS_e2,13,10,No aplica,33,0.0050318241119384766,1
UCS_e2,14,83,No aplica,156,0.02356100082397461,1
UCS_e2,15,43,No aplica,123,0.0296328067779541,1
UCS_e2,16,112,No aplica,181,0.03540945053100586,1
UCS_e2,17,90,No aplica,149,0.038725852966308594,1
UCS_e2,18,82,No aplica,183,0.04806780815124512,1
UCS_e2,19,20,No aplica,26,0.003214120864868164,1
UCS_e2,20,91,No aplica,130,0.03571772575378418,1
UCS_e2,21,103,No aplica,195,0.064971923828125,1
UCS_e2,22,30,No aplica,39,0.005984306335449219,1
UCS_e2,23,151,No aplica,360,0.04905819892883301,1
UCS_e2,24,28,No aplica,87,0.00957798957824707,1
UCS_e2,25,67,No aplica,213,0.030853271484375,1
UCS_e2,26,40,No aplica,60,0.011497020721435547,1
UCS_e2,27,14,No aplica,28,0.0032041072845458984,1
UCS_e2,28,66,No aplica,113,0.014724016189575195,1
UCS_e2,29,43,No aplica,53,0.0049664974212646484,1
UCS_e2,30,46,No aplica,159,0.04449772834777832,1
A*_e1,1,30,29,62,0.004509449005126953,1
A*_e1,2,105,104,319,0.02410268783569336,1
A*_e1,3,66,65,111,0.018398761749267578,1
A*_e1,4,45,44,170,0.005494356155395508,1
A*_e1,5,111,110,201,0.02709817886352539,1
A*_e1,6,59,58,100,0.012998342514038086,1
A*_e1,7,68,67,177,0.01508474349975586,1
A*_e1,8,49,48,146,0.007852315902709961,1
A*_e1,9,60,59,80,0.01546788215637207,1
A*_e1,10,89,88,304,0.025985240936279297,1
A*_e1,11,62,61,160,0.015538692474365234,1
A*_e1,12,74,73,181,0.02549576759338379,1
A*_e1,13,10,9,33,0.0009965896606445312,1
A*_e1,14,83,82,156,0.018981456756591797,1
A*_e1,15,43,42,123,0.007565498352050781,1
A*_e1,16,112,111,181,0.0296630859375,1
A*_e1,17,90,89,149,0.032267093658447266,1
A*_e1,18,82,81,183,0.018311262130737305,1
A*_e1,19,20,19,26,0.0019948482513427734,1
A*_e1,20,91,90,130,0.023737192153930664,1
A*_e1,21,103,102,195,0.02805781364440918,1
A*_e1,22,30,29,39,0.0034942626953125,1
A*_e1,23,151,150,360,0.045469045639038086,1
A*_e1,24,28,27,87,0.003992557525634766,1
A*_e1,25,67,66,213,0.01594376564025879,1
A*_e1,26,40,39,60,0.005491018295288086,1
A*_e1,27,14,13,28,0.0009989738464355469,1
A*_e1,28,66,65,113,0.012846708297729492,1
A*_e1,29,43,42,53,0.0044977664947509766,1
A*_e1,30,46,45,159,0.009147882461547852,1
A*_e2,1,30,29,62,0.004021167755126953,1
A*_e2,2,105,104,319,0.01853203773498535,1
A*_e2,3,66,65,111,0.014505863189697266,1
A*_e2,4,45,44,170,0.011007308959960938,1
A*_e2,5,111,110,201,0.025287151336669922,1
A*_e2,6,59,58,100,0.015705108642578125,1
A*_e2,7,68,67,177,0.01497960090637207,1
A*_e2,8,49,48,146,0.008080244064331055,1
A*_e2,9,60,59,80,0.012497663497924805,1
A*_e2,10,89,88,304,0.039144039154052734,1
A*_e2,11,62,61,160,0.018296241760253906,1
A*_e2,12,74,73,181,0.031208038330078125,1
A*_e2,13,10,9,33,0.0009984970092773438,1
A*_e2,14,83,82,156,0.019787311553955078,1
A*_e2,15,43,42,123,0.012004613876342773,1
A*_e2,16,112,111,181,0.027996301651000977,1
A*_e2,17,90,89,149,0.0300748348236084,1
A*_e2,18,82,81,183,0.02154850959777832,1
A*_e2,19,20,19,26,0.001995086669921875,1
A*_e2,20,91,90,130,0.023422718048095703,1
A*_e2,21,103,102,195,0.030692577362060547,1
A*_e2,22,30,29,39,0.004464387893676758,1
A*_e2,23,151,150,360,0.05595684051513672,1
A*_e2,24,28,27,87,0.005010128021240234,1
A*_e2,25,67,66,213,0.02556157112121582,1
A*_e2,26,40,39,60,0.004984855651855469,1
A*_e2,27,14,13,28,0.001993894577026367,1
A*_e2,28,66,65,113,0.009791135787963867,1
A*_e2,29,43,42,53,0.005600690841674805,1
A*_e2,30,46,45,159,0.015035629272460938,1
Random,1,0,0,0,0.0015263557434082031,0
Random,2,0,0,0,0.001356363296508789,0
Random,3,0,0,0,0.0009732246398925781,0
Random,4,0,0,0,0.0019948482513427734,0
Random,5,0,0,0,0.0019948482513427734,0
Random,6,0,0,0,0.0010232925415039062,0
Random,7,0,0,0,0.0009953975677490234,0
Random,8,0,0,0,0.0015261173248291016,0
Random,9,0,0,0,0.0014984607696533203,0
Random,10,0,0,0,0.0019943714141845703,0
Random,11,0,0,0,0.0009965896606445312,0
Random,12,0,0,0,0.0019714832305908203,0
Random,13,0,0,0,0.0010213851928710938,0
Random,14,0,0,0,0.001994609832763672,0
Random,15,0,0,0,0.0015950202941894531,0
Random,16,0,0,0,0.001024484634399414,0
Random,17,0,0,0,0.000972747802734375,0
