"","Accuracy","Precision","Sensitivity","Specificity"
"1",0.891891891891892,NA,0,1
"2",0.879749314531923,NA,0,1
"3",0.893850372111242,NA,0,1
"4",0.889933411672542,NA,0,1
"5",0.878965922444183,NA,0,1
"6",0.887147335423197,NA,0,1
"7",0.875440658049354,NA,0,1
"8",0.889541715628672,NA,0,1
"9",0.893066980023502,NA,0,1
"10",0.898942420681551,NA,0,1
